Basin_ID,Contour_ID,Height_min,Height_max,area (m2),Population,Land_use_1_value,Land_use_2_value
1,0,0,0.25,40807006.00,0,40807006.00,0
1,1,0.25,0.5,31028566.00,0,31028566.00,0
1,2,0.5,0.75,162348269.00,0,162348269.00,0
1,3,0.75,1,218808501.00,0,218808501.00,0
1,4,1,1.25,240865.53,0,240865.53,0
1,5,1.25,1.5,167734954.00,0,167734954.00,0
1,6,1.5,1.75,225081582.00,0,225081582.00,0
1,7,1.75,2,314504555.00,0,314504555.00,0
1,8,2,2.25,518843153.00,0,518843153.00,0
1,9,2.25,2.5,507378559.00,0,507378559.00,0
1,10,2.5,2.75,393202699.00,0,393202699.00,0
1,11,2.75,3,433910.36,0,433910.36,0
1,12,3,3.25,555788574.00,0,555788574.00,0
1,13,3.25,3.5,749203667.00,0,749203667.00,0
1,14,3.5,3.75,1028466599.00,0,1028466599.00,0
1,15,3.75,4,960809.58,0,960809.58,0
1,16,4,4.25,695366533.00,0,695366533.00,0
1,17,4.25,4.5,500872.16,0,500872.16,0
1,18,4.5,4.75,359350369.00,0,359350369.00,0
1,19,4.75,5,225160.23,0,225160.23,0
1,20,5,5.25,170761471.00,0,170761471.00,0
1,21,5.25,5.5,146379807.00,0,146379807.00,0
1,22,5.5,5.75,115258603.00,0,115258603.00,0
1,23,5.75,6,99440772.00,0,99440772.00,0
1,24,6,6.25,54914988.00,0,54914988.00,0
1,25,6.25,6.5,51926992.00,0,51926992.00,0
1,26,6.5,6.75,54174504.00,0,54174504.00,0
1,27,6.75,7,37688.47,0,37688.47,0
1,28,7,7.25,24621927.00,0,24621927.00,0
1,29,7.25,7.5,16472281.00,0,16472281.00,0
1,30,7.5,7.75,11556205.00,0,11556205.00,0
1,31,7.75,8,11225186.00,0,11225186.00,0
1,32,8,8.25,13527583.00,0,13527583.00,0
1,33,8.25,8.5,9140936.00,0,9140936.00,0
1,34,8.5,8.75,8891085.00,0,8891085.00,0
1,35,8.75,9,8684648.00,0,8684648.00,0
1,36,9,9.25,8562297.00,0,8562297.00,0
1,37,9.25,9.5,8265044.00,0,8265044.00,0
1,38,9.5,9.75,8068454.00,0,8068454.00,0
1,39,9.75,10,7997.26,0,7997.26,0
1,40,10,10.25,7909126.00,0,7909126.00,0
1,41,10.25,10.5,7888436.00,0,7888436.00,0
1,42,10.5,10.75,7880587.00,0,7880587.00,0
1,43,10.75,11,7781961.00,0,7781961.00,0
1,44,11,11.25,7595271.00,0,7595271.00,0
1,45,11.25,11.5,7491747.00,0,7491747.00,0
1,46,11.5,11.75,7412751.00,0,7412751.00,0
1,47,11.75,12,7359964.00,0,7359964.00,0
1,48,12,12.25,7320512.00,0,7320512.00,0
1,49,12.25,12.5,7291418.00,0,7291418.00,0
1,50,12.5,12.75,7244641.00,0,7244641.00,0
1,51,12.75,13,7185065.00,0,7185065.00,0
1,52,13,13.25,7213078.00,0,7213078.00,0
1,53,13.25,13.5,7259778.00,0,7259778.00,0
1,54,13.5,13.75,7299635.00,0,7299635.00,0
1,55,13.75,14,7339.38,0,7339.38,0
1,56,14,14.25,7398083.00,0,7398083.00,0
1,57,14.25,14.5,7459.8,0,7459.8,0
1,58,14.5,14.75,7564565.00,0,7564565.00,0
1,59,14.75,15,7613912.00,0,7613912.00,0
1,60,15,15.25,7693401.00,0,7693401.00,0
1,61,15.25,15.5,7820794.00,0,7820794.00,0
1,62,15.5,15.75,7999756.00,0,7999756.00,0
1,63,15.75,16,8244113.00,0,8244113.00,0
1,64,16,16.25,8573534.00,0,8573534.00,0
1,65,16.25,16.5,8716041.00,0,8716041.00,0
1,66,16.5,16.75,8830507.00,0,8830507.00,0
1,67,16.75,17,8922402.00,0,8922402.00,0
1,68,17,17.25,8911996.00,0,8911996.00,0
1,69,17.25,17.5,8960507.00,0,8960507.00,0
1,70,17.5,17.75,9020322.00,0,9020322.00,0
1,71,17.75,18,9192559.00,0,9192559.00,0
1,72,18,18.25,9543564.00,0,9543564.00,0
1,73,18.25,18.5,9886864.00,0,9886864.00,0
1,74,18.5,18.75,10324063.00,0,10324063.00,0
1,75,18.75,19,10877572.00,0,10877572.00,0
1,76,19,19.25,11484735.00,0,11484735.00,0
1,77,19.25,19.5,12144487.00,0,12144487.00,0
1,78,19.5,19.75,12103.1,0,12103.1,0
1,79,19.75,20,12071041.00,0,12071041.00,0
1,80,20,20.25,10153459.00,0,10153459.00,0
1,81,20.25,20.5,9786588.00,0,9786588.00,0
1,82,20.5,20.75,9281285.00,0,9281285.00,0
1,83,20.75,21,9424997.00,0,9424997.00,0
1,84,21,21.25,9563073.00,0,9563073.00,0
1,85,21.25,21.5,9672894.00,0,9672894.00,0
1,86,21.5,21.75,8854212.00,0,8854212.00,0
1,87,21.75,22,8806143.00,0,8806143.00,0
1,88,22,22.25,8918967.00,0,8918967.00,0
1,89,22.25,22.5,9049628.00,0,9049628.00,0
1,90,22.5,22.75,9187462.00,0,9187462.00,0
1,91,22.75,23,8531004.00,0,8531004.00,0
1,92,23,23.25,7886322.00,0,7886322.00,0
1,93,23.25,23.5,7592217.00,0,7592217.00,0
1,94,23.5,23.75,7517094.00,0,7517094.00,0
1,95,23.75,24,7473859.00,0,7473859.00,0
1,96,24,24.25,7460688.00,0,7460688.00,0
1,97,24.25,24.5,7500564.00,0,7500564.00,0
1,98,24.5,24.75,7386586.00,0,7386586.00,0
1,99,24.75,25,7188307.00,0,7188307.00,0
1,100,25,25.25,7159362.00,0,7159362.00,0
1,101,25.25,25.5,7118216.00,0,7118216.00,0
1,102,25.5,25.75,7100.5,0,7100.5,0
1,103,25.75,26,7459551.00,0,7459551.00,0
1,104,26,26.25,7905571.00,0,7905571.00,0
1,105,26.25,26.5,7992856.00,0,7992856.00,0
1,106,26.5,26.75,7959487.00,0,7959487.00,0
1,107,26.75,27,7794357.00,0,7794357.00,0
1,108,27,27.25,7636046.00,0,7636046.00,0
1,109,27.25,27.5,7596631.00,0,7596631.00,0
1,110,27.5,27.75,7540.12,0,7540.12,0
1,111,27.75,28,7392974.00,0,7392974.00,0
1,112,28,28.25,7261007.00,0,7261007.00,0
1,113,28.25,28.5,7142854.00,0,7142854.00,0
1,114,28.5,28.75,7401888.00,0,7401888.00,0
1,115,28.75,29,8050487.00,0,8050487.00,0
1,116,29,29.25,7952564.00,0,7952564.00,0
1,117,29.25,29.5,7025323.00,0,7025323.00,0
1,118,29.5,29.75,6579507.00,0,6579507.00,0
1,119,29.75,30,6644524.00,0,6644524.00,0
1,120,30,30.25,6460.33,0,6460.33,0
1,121,30.25,30.5,6373969.00,0,6373969.00,0
1,122,30.5,30.75,6306513.00,0,6306513.00,0
1,123,30.75,31,6182403.00,0,6182403.00,0
1,124,31,31.25,6140469.00,0,6140469.00,0
1,125,31.25,31.5,6321646.00,0,6321646.00,0
1,126,31.5,31.75,6408187.00,0,6408187.00,0
1,127,31.75,32,6367643.00,0,6367643.00,0
1,128,32,32.25,6337313.00,0,6337313.00,0
1,129,32.25,32.5,6315462.00,0,6315462.00,0
1,130,32.5,32.75,6305649.00,0,6305649.00,0
1,131,32.75,33,6277094.00,0,6277094.00,0
1,132,33,33.25,6259578.00,0,6259578.00,0
1,133,33.25,33.5,6239363.00,0,6239363.00,0
1,134,33.5,33.75,6414229.00,0,6414229.00,0
1,135,33.75,34,6603174.00,0,6603174.00,0
1,136,34,34.25,6591469.00,0,6591469.00,0
1,137,34.25,34.5,6579762.00,0,6579762.00,0
1,138,34.5,34.75,6602836.00,0,6602836.00,0
1,139,34.75,35,5828094.00,0,5828094.00,0
1,140,35,35.25,5742016.00,0,5742016.00,0
1,141,35.25,35.5,5638504.00,0,5638504.00,0
1,142,35.5,35.75,5636291.00,0,5636291.00,0
1,143,35.75,36,9206682.00,0,9206682.00,0
1,144,36,36.25,5937.7,0,5937.7,0
1,145,36.25,36.5,5970987.00,0,5970987.00,0
1,146,36.5,36.75,6007006.00,0,6007006.00,0
1,147,36.75,37,5994562.00,0,5994562.00,0
1,148,37,37.25,5920661.00,0,5920661.00,0
1,149,37.25,37.5,5952221.00,0,5952221.00,0
1,150,37.5,37.75,5978605.00,0,5978605.00,0
1,151,37.75,38,5826401.00,0,5826401.00,0
1,152,38,38.25,5735899.00,0,5735899.00,0
1,153,38.25,38.5,5672471.00,0,5672471.00,0
1,154,38.5,38.75,5617147.00,0,5617147.00,0
1,155,38.75,39,5561418.00,0,5561418.00,0
1,156,39,39.25,5499652.00,0,5499652.00,0
1,157,39.25,39.5,5418933.00,0,5418933.00,0
1,158,39.5,39.75,5391804.00,0,5391804.00,0
1,159,39.75,40,5482.51,0,5482.51,0
1,160,40,40.25,5719251.00,0,5719251.00,0
1,161,40.25,40.5,5947268.00,0,5947268.00,0
1,162,40.5,40.75,6139634.00,0,6139634.00,0
1,163,40.75,41,8606.88,0,8606.88,0
1,164,41,41.25,5574.15,0,5574.15,0
1,165,41.25,41.5,5593993.00,0,5593993.00,0
1,166,41.5,41.75,5612444.00,0,5612444.00,0
1,167,41.75,42,5548.97,0,5548.97,0
1,168,42,42.25,5553896.00,0,5553896.00,0
1,169,42.25,42.5,5623729.00,0,5623729.00,0
1,170,42.5,42.75,5693562.00,0,5693562.00,0
1,171,42.75,43,5745595.00,0,5745595.00,0
1,172,43,43.25,5804187.00,0,5804187.00,0
1,173,43.25,43.5,5870.62,0,5870.62,0
1,174,43.5,43.75,5778.21,0,5778.21,0
1,175,43.75,44,5716197.00,0,5716197.00,0
1,176,44,44.25,5714.39,0,5714.39,0
1,177,44.25,44.5,5712582.00,0,5712582.00,0
1,178,44.5,44.75,7486303.00,0,7486303.00,0
